customer_id,annual_income,credit_score,loan_amount,loan_term,debt_to_income,employment_years,num_delinquencies,credit_utilization,num_accounts,home_ownership,loan_purpose,default,loan_to_income,credit_score_bucket,high_utilization_flag,has_delinquency,low_employment_years,dti_util_interaction,loan_income_ratio,risky_profile_flag,existing_customer,relationship_tenure_months,num_existing_products,offered_interest_rate,estimated_monthly_payment,payment_to_income_ratio,review_flag,response_probability,accepted_offer
15,23252.465024609017,737.6092014402325,25229.71573896945,36,0.4554946803938069,12,1,0.3153102886881488,4,RENT,debt_consolidation,1,1.0850340259057607,high,0,1,0,0.1436221591708873,1.0850340259057607,0,1,32,1,0.1944,930.48,0.4802,1,0.2023,0
16,58131.37412277082,682.9079288394727,19284.85990727018,60,0.5651708709500162,16,0,0.4562846771654584,5,MORTGAGE,debt_consolidation,0,0.3317461559778319,high,0,0,0,0.2578788083947491,0.3317461559778319,0,0,0,0,0.1971,507.79,0.1048,1,0.1879,0
17,44615.06638996729,604.8415007661775,6607.29684514699,36,0.2075031969213874,3,0,0.6997176589352894,4,RENT,other,1,0.1480956407695651,medium,0,0,0,0.1451936511714215,0.1480956407695651,0,0,0,0,0.2028,246.51,0.0663,1,0.2052,1
18,84427.41997785821,712.0822557387809,4831.415834916814,60,0.2240336838915635,5,1,0.8149436672761307,9,OWN,debt_consolidation,1,0.0572256718981424,high,1,1,0,0.1825748319439721,0.0572256718981424,0,1,42,4,0.2451,140.41,0.02,1,0.3244,0
19,47759.27773436367,629.9634918705971,10412.962708564162,60,0.145672013747885,13,1,0.6667176269171303,1,MORTGAGE,debt_consolidation,1,0.2180301546070872,medium,0,1,0,0.0971220993142294,0.2180301546070872,0,0,0,0,0.182,265.56,0.0667,1,0.0762,0
20,32630.888959941258,805.6167393874548,38209.67225266231,36,0.04484802985108,18,0,0.1138818668145145,1,MORTGAGE,credit_card,0,1.1709663288180343,high,0,0,0,0.005107377362394,1.1709663288180343,0,1,39,2,0.1841,1389.15,0.5109,0,0.32,1
21,118969.46306764662,788.1389023692781,42132.77918011304,36,0.1253811666057091,12,1,0.1806806913159792,7,RENT,home_improvement,0,0.3541478467949543,high,0,1,0,0.0226539558603234,0.3541478467949543,0,0,0,0,0.2138,1595.59,0.1609,0,0.4737,0
22,68226.71098540393,722.2868198448897,22049.891473089097,36,0.1533170535002276,10,0,0.1884905102706016,12,MORTGAGE,debt_consolidation,0,0.3231856138790444,high,0,0,0,0.028898809647443,0.3231856138790444,0,1,57,3,0.2017,821.38,0.1445,0,0.085,0
23,77025.84614063772,775.2704693338842,21489.427962412883,60,0.1771167248584963,14,1,0.5384451067894133,14,MORTGAGE,credit_card,0,0.2789898331385728,high,0,1,0,0.0953676338306241,0.2789898331385728,0,0,0,0,0.2065,577.18,0.0899,0,0.291,0
24,32257.5544135963,684.5353945086367,16636.79628170479,36,0.1578643011556001,15,0,0.6385464696887502,5,MORTGAGE,other,0,0.5157488403453414,high,0,0,0,0.1008036921927901,0.5157488403453414,0,1,40,4,0.1751,597.41,0.2222,0,0.3343,0
25,58668.51826424452,733.5806246062511,10655.146516904975,60,0.4194787124234642,0,1,0.5603828280610323,6,MORTGAGE,debt_consolidation,1,0.1816160835822085,high,0,1,1,0.2350686671792613,0.1816160835822085,0,1,54,3,0.2369,304.6,0.0623,0,0.2572,1
26,78327.67769129598,783.4404206711453,33751.79057607244,36,0.3881673016347812,16,0,0.3118398508584913,1,RENT,home_improvement,0,0.4309050334501637,high,0,0,0,0.1210460334499331,0.4309050334501637,0,0,0,0,0.1957,1246.96,0.191,0,0.6858,1
27,40470.19267733092,697.1849077256019,38735.76393897136,60,0.1114972913528436,15,1,0.9315471755010524,13,RENT,credit_card,0,0.9571430570359446,high,1,1,0,0.1038649868357593,0.9571430570359446,0,0,0,0,0.2434,1122.07,0.3327,1,0.3749,0
28,86270.94055037016,662.1368979940002,11065.809141607144,60,0.1073076685725063,4,1,0.5390127374657377,2,MORTGAGE,debt_consolidation,0,0.1282680943418948,medium,0,1,0,0.0578402001883327,0.1282680943418948,0,0,0,0,0.1671,273.32,0.038,0,0.2528,0
29,56980.83930243585,560.6764629276018,19171.616215753984,36,0.3726689314559288,15,1,0.4450005336131341,14,RENT,debt_consolidation,1,0.3364572451041093,low,0,1,0,0.1658378733589248,0.3364572451041093,0,1,1,1,0.2067,719.03,0.1514,1,0.122,0
30,66249.18750620169,674.1806531994954,15501.33699289832,60,0.3597140356572912,13,0,0.3232313469922866,6,OWN,credit_card,0,0.2339853147816074,high,0,0,0,0.1162708522775376,0.2339853147816074,0,1,35,1,0.2076,417.23,0.0756,0,0.2039,0
31,56948.80163311809,737.6396229193618,15797.60925135023,36,0.4984822916859431,3,1,0.4527286057369601,2,MORTGAGE,other,1,0.2774002050621881,high,0,1,0,0.2256771928995417,0.2774002050621881,0,1,27,2,0.2103,595.39,0.1255,1,0.1043,0
32,130568.34553526812,746.194339929734,31859.08255429862,36,0.2276579478002985,10,0,0.6600925491707048,5,MORTGAGE,credit_card,0,0.2440031113471457,high,0,0,0,0.1502753151024702,0.2440031113471457,0,1,67,3,0.2136,1206.17,0.1109,0,0.234,0
33,74595.08325786199,715.3055546002887,6880.384546338783,36,0.0437535169681389,2,0,0.4699775079996338,10,RENT,debt_consolidation,0,0.0922364349733651,high,0,0,0,0.0205631688709056,0.0922364349733651,0,1,33,2,0.1885,251.7,0.0405,0,0.5585,1
34,43268.672131322994,642.1090633526433,24664.69690936306,60,0.1278056133581877,18,0,0.3888074966109557,11,RENT,home_improvement,0,0.5700359103679956,medium,0,0,0,0.0496917805826246,0.5700359103679956,0,1,13,1,0.2531,728.4,0.202,0,0.4971,0
35,99676.34736309569,541.6224901736687,27282.381073058656,60,0.1857239330329534,1,0,0.7865106146180255,11,MORTGAGE,credit_card,1,0.2737096793224389,low,1,0,1,0.1460738447190251,0.2737096793224389,0,0,0,0,0.2264,763.46,0.0919,1,0.4381,0
36,38374.690500869336,645.3349431396686,18578.48826398181,60,0.4325757322686983,12,0,0.4287874492688315,3,MORTGAGE,credit_card,0,0.4841338919222502,medium,0,0,0,0.1854830448550921,0.4841338919222502,1,1,41,1,0.1696,461.35,0.1443,1,0.3367,1
37,81265.90785014266,658.6958590262234,28930.678269867727,60,0.4500225718415579,12,0,0.5624952318894081,7,MORTGAGE,debt_consolidation,0,0.3560001855004311,medium,0,0,0,0.2531355509034849,0.3560001855004311,0,1,21,2,0.1865,744.87,0.11,1,0.0405,0
38,20000.0,658.094972296699,21476.518405374503,36,0.1522684514841371,8,1,0.7044568690364937,7,RENT,home_improvement,0,1.0738259202150338,medium,1,1,0,0.1072665565855504,1.0738259202150338,0,1,1,2,0.2202,820.46,0.4923,1,0.024,0
39,35154.41853304709,723.2989449884547,32171.29921156112,60,0.130145446916836,6,0,0.8337598231807376,5,MORTGAGE,other,0,0.9151424075014408,high,1,0,0,0.1085100448091592,0.9151424075014408,0,1,26,2,0.1996,851.54,0.2907,1,0.4322,1
40,80905.8370760737,818.9973487710388,4777.946950741458,36,0.2360560664873513,11,1,0.6180976197268281,10,OWN,other,0,0.0590556518955464,high,0,1,0,0.1459056928179097,0.0590556518955464,0,1,8,3,0.1831,173.48,0.0257,0,0.7621,0
41,97153.99739986232,688.6470441288765,16512.247389931308,60,0.3847915496156496,15,3,0.6049819529692324,12,MORTGAGE,other,1,0.1699595264392564,high,0,1,0,0.232791943172533,0.1699595264392564,0,1,7,1,0.2401,475.1,0.0587,1,0.251,1
42,80141.04843569911,664.8287747590476,19281.868571489653,60,0.1608571318598536,17,0,0.0513381653330692,13,OWN,credit_card,0,0.2405991554592625,medium,0,0,0,0.0082581100304244,0.2405991554592625,0,1,21,1,0.2287,542.12,0.0812,0,0.2239,1
43,71530.55152835278,661.8544730897136,1000.0,60,0.5778135336138024,15,0,0.2791298244852124,10,RENT,other,1,0.0139800403969994,medium,0,0,0,0.161284990222801,0.0139800403969994,0,0,0,0,0.2153,27.35,0.0046,1,0.4811,1
44,65966.88913232133,688.70693368354,9140.472664214652,60,0.4029584208941628,4,2,0.2785928043281174,7,MORTGAGE,debt_consolidation,0,0.1385615235810414,high,0,1,0,0.1122613165045346,0.1385615235810414,0,1,6,3,0.2592,273.22,0.0497,1,0.3476,0
45,30644.340288977182,622.0194367756121,11864.007456412137,36,0.3937487024398847,11,0,0.5092434802127849,2,RENT,debt_consolidation,0,0.3871516679473921,medium,0,0,0,0.2005139595597551,0.3871516679473921,0,1,4,1,0.1907,435.29,0.1705,1,0.3653,0
46,53404.67374815874,688.4138991122238,29482.05994823349,60,0.3514341715698156,0,3,0.523995333034172,5,MORTGAGE,credit_card,0,0.552050183598358,high,0,1,1,0.1841498657713138,0.552050183598358,0,0,0,0,0.188,761.52,0.1711,1,0.0299,0
47,61180.836871206375,711.556863543226,12931.566536853996,36,0.3389711408683539,9,0,0.1542910745867414,12,RENT,home_improvement,1,0.2113662904589759,high,0,0,0,0.052300221578472,0.2113662904589759,0,1,7,1,0.2126,488.92,0.0959,0,0.3084,0
48,106713.66678656748,694.6780244502141,11819.21012694023,36,0.2046548551663339,8,1,0.7350410300527189,1,RENT,credit_card,0,0.1107562928230033,high,1,1,0,0.150429715546752,0.1107562928230033,0,0,0,0,0.1872,431.58,0.0485,1,0.6513,0
49,85308.54868705384,712.0279353803347,28174.857806561915,60,0.3068085815919792,17,1,0.7973936685166253,3,MORTGAGE,other,1,0.3302700402229135,high,1,1,0,0.2446472204080106,0.3302700402229135,0,1,1,2,0.219,776.59,0.1092,1,0.3463,0
50,22108.795339117984,710.3623326543975,3820.893542099455,60,0.2583784048349527,3,1,0.48098667089741,4,RENT,other,1,0.1728223308108593,high,0,1,0,0.1242765687733471,0.1728223308108593,0,0,0,0,0.2154,104.52,0.0567,0,0.3872,0
51,84722.51908184384,555.9672322427489,1000.0,36,0.5963048508731505,0,0,0.7618586835374986,5,MORTGAGE,home_improvement,1,0.0118032373308231,low,1,0,1,0.4543000286732429,0.0118032373308231,1,1,16,2,0.2373,39.09,0.0055,1,0.212,1
52,63447.5315875105,724.5809110876783,16384.076999306537,60,0.100479117337213,19,0,0.6396912466315221,1,MORTGAGE,debt_consolidation,0,0.2582303296772143,high,0,0,0,0.0642756118298767,0.2582303296772143,0,1,47,2,0.1744,411.05,0.0777,0,0.4179,0
53,54692.33999082124,633.0289608036283,5522.932319216447,60,0.108435824891667,12,0,0.219104698208763,9,OWN,credit_card,0,0.100981825243578,medium,0,0,0,0.0237587986879069,0.100981825243578,0,1,53,3,0.1588,133.94,0.0294,1,0.7028,1
54,93350.28866522603,603.2912585897229,5903.20705340351,36,0.3038740150706221,4,2,0.0844081663775626,11,MORTGAGE,home_improvement,0,0.0632371590677178,medium,0,1,0,0.025649448421899,0.0632371590677178,0,0,0,0,0.2163,224.31,0.0288,1,0.1137,0
55,105929.98567487852,602.6883720501503,25734.33791687982,60,0.4040087011724146,17,0,0.5229653644460353,11,RENT,home_improvement,0,0.2429372358797536,medium,0,0,0,0.2112825576480011,0.2429372358797536,1,1,24,2,0.2505,756.02,0.0856,1,0.1187,1
56,102938.40357348596,710.347912733077,28759.73837912579,60,0.0328105931409926,5,1,0.3263935595396425,10,RENT,credit_card,0,0.2793878414708007,high,0,1,0,0.0107091662858955,0.2793878414708007,0,1,30,3,0.2083,775.36,0.0904,0,0.2852,0
57,49823.47430332084,664.4197550942603,27888.64215852125,60,0.5218849716815328,19,0,0.6020219107811109,14,OWN,home_improvement,0,0.5597490449617774,medium,0,0,0,0.3141861878596623,0.5597490449617774,0,1,30,2,0.1941,729.74,0.1758,1,0.2131,1
58,65723.62872446356,562.2621851210213,31087.766603072327,36,0.251278286579661,4,0,0.4424867848787638,10,OWN,debt_consolidation,1,0.4730074587471442,low,0,0,0,0.1111873211384788,0.4730074587471442,0,1,14,2,0.1785,1121.6,0.2048,1,0.0463,0
59,84937.90294210691,713.4626470634598,32411.343200148018,36,0.0639146053697254,11,0,0.2658493301925042,2,MORTGAGE,debt_consolidation,0,0.3815886909976784,high,0,0,0,0.0169916550270597,0.3815886909976784,0,0,0,0,0.1819,1174.84,0.166,0,0.4818,1
60,104266.35381367078,579.227430844082,1000.0,36,0.2325983320791893,11,0,0.7017787860121855,3,RENT,other,0,0.0095908216161222,low,1,0,0,0.1632325751149926,0.0095908216161222,0,1,1,2,0.2201,38.2,0.0044,1,0.2401,0
61,60624.7728646413,689.7874950962747,24504.119599294667,60,0.3836276577189952,12,2,0.4956999577537556,3,RENT,other,0,0.4041931778219035,high,0,1,0,0.1901642137244781,0.4041931778219035,0,0,0,0,0.2346,697.22,0.138,1,0.2719,1
62,69430.23070008549,696.6949247971138,14703.918004304413,60,0.308627627367382,4,1,0.7180416991346928,12,RENT,credit_card,0,0.2117797659006558,high,1,1,0,0.2216075059547838,0.2117797659006558,0,1,15,2,0.2128,400.08,0.0691,1,0.0504,0
63,41809.95077981916,741.9903957186532,12525.75754009564,36,0.1964543797454755,19,0,0.6218796694511962,10,MORTGAGE,other,0,0.2995879522977575,high,0,0,0,0.122170984738356,0.2995879522977575,0,1,53,2,0.1248,418.89,0.1202,0,0.6154,1
64,39113.80127757988,804.7179350526796,25604.146322087054,60,0.8116777816457976,16,0,0.7223080378619642,1,OWN,debt_consolidation,0,0.6546064428697909,high,1,0,0,0.5862813858367278,0.6546064428697909,0,1,49,1,0.2426,740.5,0.2272,1,0.3255,0
65,99375.77467182594,584.4726571869621,2697.045201042481,36,0.0520168589762462,3,1,0.1545046285975989,4,MORTGAGE,other,0,0.0271398659273041,medium,0,1,0,0.0080368454769385,0.0271398659273041,0,1,1,3,0.1725,96.49,0.0117,1,0.4021,1
66,115687.2008571247,676.3268300755865,2488.913941276802,36,0.3473801880924345,6,1,0.2411957914062745,5,MORTGAGE,home_improvement,0,0.0215141685753909,high,0,1,0,0.0837866393858152,0.0215141685753909,0,0,0,0,0.2255,95.76,0.0099,0,0.2725,0
67,72839.69635258999,660.6565293469048,26335.72744081717,60,0.2007948199624228,3,0,0.5982706058042199,2,OWN,debt_consolidation,1,0.3615573479737493,medium,0,0,0,0.1201296385812679,0.3615573479737493,0,1,1,1,0.1825,672.38,0.1108,0,0.5252,1
68,105105.98693676072,710.3624780172673,24877.86017510898,36,0.2122473769563657,13,0,0.6941806092190327,1,MORTGAGE,debt_consolidation,0,0.2366930838092086,high,0,0,0,0.1473380134407116,0.2366930838092086,0,1,60,5,0.1715,888.83,0.1015,0,0.7505,1
69,85849.08075142902,695.0968139653532,21367.326558715104,60,0.2632121725240161,14,1,0.1718174906826262,12,MORTGAGE,other,0,0.2488940635291605,high,0,1,0,0.0452244550001989,0.2488940635291605,0,1,1,2,0.2105,578.67,0.0809,0,0.3547,1
70,55646.40736184627,655.3217630084366,11200.865952768632,60,0.5693348009123063,18,1,0.2449751911377037,1,OWN,home_improvement,0,0.201286416924144,medium,0,1,0,0.1394729016748387,0.201286416924144,0,1,21,1,0.2779,347.34,0.0749,1,0.2092,0
71,85841.86816525241,649.1368467972401,27438.296345821243,60,0.4517350852538335,16,0,0.5963895071031963,6,RENT,credit_card,0,0.3196376888336203,medium,0,0,0,0.2694100648357541,0.3196376888336203,1,0,0,0,0.2488,803.47,0.1123,1,0.4644,1
72,121141.09699397908,601.8484401371167,26803.02892060476,36,0.5612101145788081,17,1,0.3218268766620513,6,RENT,other,0,0.2212546327008716,medium,0,1,0,0.1806124983260497,0.2212546327008716,1,1,28,4,0.2536,1070.86,0.1061,1,0.368,0
73,73925.21882670146,749.1503107684556,20853.045150474543,60,0.1667406134916331,0,2,0.6968510211101469,6,RENT,other,0,0.2820829681827121,high,0,1,1,0.1161933667721768,0.2820829681827121,0,1,14,1,0.2131,567.77,0.0922,1,0.1495,0
74,121939.3096744202,712.1442927119671,8226.789587302286,60,0.1182407082643112,8,0,0.6835375844270725,10,OWN,home_improvement,0,0.0674662634157965,high,0,0,0,0.0808219681079334,0.0674662634157965,0,1,1,2,0.1313,187.75,0.0185,0,0.7649,1
75,20000.0,744.2437738456596,15747.516542704932,60,0.2912673915930747,15,1,0.8509196455176748,14,RENT,home_improvement,1,0.7873758270958778,high,1,1,0,0.2478451456052369,0.7873758270958778,0,0,0,0,0.2068,423.16,0.2539,1,0.1415,0
76,99657.07513125672,658.2722704467141,28378.336775244425,60,0.0406036315156102,19,0,0.3153776076718327,6,MORTGAGE,debt_consolidation,0,0.2847598801949889,medium,0,0,0,0.0128054761701817,0.2847598801949889,0,1,17,1,0.13,645.64,0.0777,0,0.4467,1
77,77611.41204714513,634.0215171913899,33271.91222801787,36,0.7187938077189465,5,0,0.2797169899506866,7,RENT,debt_consolidation,0,0.4286987100218988,medium,0,0,0,0.2010588402903363,0.4286987100218988,1,1,1,2,0.2839,1383.31,0.2139,1,0.0926,0
78,66029.77948602398,604.5179453359541,16734.633966236717,36,0.2167217859129405,16,0,0.4391675518434114,8,MORTGAGE,home_improvement,0,0.2534407065455272,medium,0,0,0,0.095177176150518,0.2534407065455272,0,1,17,3,0.2362,653.17,0.1187,1,0.3451,0
79,77752.82329606506,705.1242308618462,17503.270321917378,60,0.1767560650522604,13,1,0.5132540159599102,9,RENT,debt_consolidation,0,0.2251142734077166,high,0,1,0,0.0907207602333437,0.2251142734077166,0,1,1,3,0.2099,473.4,0.0731,0,0.6872,1
80,20000.0,607.2144742830236,18383.10891974939,60,0.1540398538442136,17,2,0.6339910017921244,10,MORTGAGE,debt_consolidation,0,0.9191554459415116,medium,0,1,0,0.0976598812546054,0.9191554459415116,0,0,0,0,0.2235,511.41,0.3068,1,0.0748,0
81,68409.84336487464,809.4064148276585,22748.930089109723,36,0.1960846127065519,3,1,0.5658621597821422,9,OWN,home_improvement,1,0.3325388419242855,high,0,1,0,0.1109568624461743,0.3325388419242855,0,1,20,3,0.1565,795.84,0.1396,0,0.7577,1
82,85713.3771453524,588.4650193234592,14189.326999399762,60,0.0226786048200568,5,0,0.3841490874734044,14,MORTGAGE,debt_consolidation,1,0.1655439030849527,medium,0,0,0,0.0087119653467947,0.1655439030849527,0,0,0,0,0.1929,370.37,0.0519,1,0.3032,0
83,119336.82134224549,699.1562083448752,1000.0,60,0.1710840818623485,18,1,0.5406334510017847,5,MORTGAGE,credit_card,0,0.0083796433384439,high,0,1,0,0.0924937775887133,0.0083796433384439,0,1,11,4,0.236,28.54,0.0029,0,0.7457,0
84,59451.89345179058,789.679829504965,31927.69001647097,36,0.5894380514037139,11,0,0.282026399328575,12,MORTGAGE,debt_consolidation,0,0.5370340314194372,high,0,0,0,0.1662370912646409,0.5370340314194372,0,1,39,2,0.212,1206.1,0.2434,1,0.2227,0
85,50745.19191320437,721.9362831484666,37946.88947162549,36,0.1678621619035289,14,1,0.3518358343737828,2,OWN,home_improvement,0,0.7477928063762739,high,0,1,0,0.0590599237931151,0.7477928063762739,0,1,14,1,0.2075,1424.87,0.3369,0,0.14,1
86,59947.2886924639,692.2971598744246,13876.001403942875,60,0.5398516290550212,4,2,0.757561624070504,12,MORTGAGE,other,1,0.2314700415376047,high,1,1,0,0.4089708768640291,0.2314700415376047,0,1,1,1,0.1946,363.45,0.0728,1,0.5936,0
87,102462.06353106222,612.2061447126673,9333.46631081226,36,0.0034819438087773,15,0,0.5749640617200034,2,RENT,home_improvement,0,0.0910919221131209,medium,0,0,0,0.0020019925549754,0.0910919221131209,0,0,0,0,0.2259,359.3,0.0421,1,0.1789,1
88,84862.53328979053,583.2761568002608,18628.994776097778,36,0.2823961742295406,9,0,0.3540496700733769,9,OWN,home_improvement,1,0.2195196637868862,medium,0,0,0,0.0999822723159527,0.2195196637868862,0,1,28,2,0.2031,695.24,0.0983,1,0.1423,0
89,59107.19388698884,733.903507624231,18124.961162712272,60,0.41098767313787,12,1,0.3873004529349268,6,RENT,credit_card,1,0.3066456038677796,high,0,1,0,0.1591757119569687,0.3066456038677796,0,1,30,2,0.1637,444.34,0.0902,0,0.1302,0
90,90398.02299340068,785.4303068542463,29955.1857716296,60,0.410866867294548,9,0,0.7150735210735266,13,RENT,other,1,0.3313699213696858,high,1,0,0,0.2938000174887618,0.3313699213696858,0,1,26,3,0.199,791.9,0.1051,1,0.591,0
91,77912.32648044122,649.280500666528,20546.394416450377,36,0.4640374741879331,4,0,0.7629401925402489,9,MORTGAGE,credit_card,0,0.2637117301502291,medium,1,0,0,0.3540328399028324,0.2637117301502291,1,1,1,1,0.2075,771.42,0.1188,1,0.5055,0
92,104059.34971598668,600.2656944668554,12073.771696288168,60,0.0643495901640129,16,0,0.4240216703450331,6,RENT,debt_consolidation,0,0.1160277450236385,medium,0,0,0,0.027285620707363,0.1160277450236385,0,1,28,3,0.1863,310.75,0.0358,1,0.476,0
93,53938.40718367943,507.9281398615687,6815.90549441951,60,0.051323564975173,18,1,0.7990612562200639,5,RENT,other,1,0.126364604558725,low,1,1,0,0.0410106723027538,0.126364604558725,0,0,0,0,0.2469,198.82,0.0442,1,0.0712,0
94,65170.13560206696,611.3464609436223,28656.34184819673,36,0.4554118708870032,19,0,0.3902578653912006,9,OWN,debt_consolidation,0,0.4397158542485546,medium,0,0,0,0.1777280646061749,0.4397158542485546,1,1,32,3,0.2147,1086.62,0.2001,1,0.1762,1
95,63236.75540603527,672.0440210250672,25995.11241164249,60,0.224231613341035,16,0,0.223136114016469,12,OWN,credit_card,0,0.4110759991451184,high,0,0,0,0.0500341708405619,0.4110759991451184,0,0,0,0,0.227,728.32,0.1382,0,0.1729,0
96,31094.551556036444,791.9386268585714,30605.59878091819,36,0.0877859353660794,0,0,0.3643080325359267,10,RENT,credit_card,0,0.9842752909550287,high,0,0,1,0.0319811213975424,0.9842752909550287,0,0,0,0,0.1958,1130.83,0.4364,0,0.0587,0
97,83883.60831193728,727.1193584563077,10318.132492789062,36,0.3716839001742772,19,0,0.495053374954577,2,RENT,other,0,0.1230053487243431,high,0,0,0,0.184003369197556,0.1230053487243431,0,1,36,2,0.2193,393.66,0.0563,0,0.2857,0
98,82831.65816539669,701.3559783294727,38384.368995283294,60,0.0565814387388479,19,0,0.591480600674217,8,OWN,other,0,0.4634021561921978,high,0,0,0,0.0334668233722651,0.4634021561921978,0,0,0,0,0.1989,1014.61,0.147,0,0.3846,1
99,75153.40369927383,651.9916237089209,2563.054929427632,36,0.1300443239652258,6,1,0.3392971673732277,13,MORTGAGE,credit_card,0,0.0341043093623488,medium,0,1,0,0.0441236707543674,0.0341043093623488,0,1,37,2,0.2686,104.44,0.0167,0,0.2036,0
100,67962.3859987456,639.178399792083,27096.0102140148,60,0.268457381234389,5,1,0.3349049815626806,8,RENT,debt_consolidation,1,0.3986912733481169,medium,0,1,0,0.0899077143126685,0.3986912733481169,0,0,0,0,0.2144,739.74,0.1306,1,0.2293,1
101,32538.87773848757,778.3953318255575,1000.0,60,0.1192498092791173,0,0,0.6287911267924323,8,RENT,credit_card,1,0.0307324674196261,high,0,0,1,0.0749832219463988,0.0307324674196261,0,1,29,2,0.1437,23.46,0.0087,0,0.1517,0
102,62380.64031703923,694.0516978530873,12096.686183015325,60,0.1651440323092978,10,0,0.2641708957576221,4,OWN,credit_card,0,0.1939173134700447,high,0,0,0,0.0436262469441728,0.1939173134700447,0,0,0,0,0.1662,298.18,0.0574,0,0.6379,1
103,64718.56450419691,532.8179515655285,35610.22930447959,60,0.5232564023323546,16,1,0.1197975530352027,11,MORTGAGE,credit_card,1,0.550232063654936,low,0,1,0,0.0626848366094196,0.550232063654936,1,0,0,0,0.2609,1068.01,0.198,1,0.0519,0
104,50931.68192335143,632.852224647193,28313.642544759896,36,0.2909261791443769,13,2,0.4737586495559855,7,RENT,credit_card,0,0.5559141476382815,medium,0,1,0,0.1378287937519227,0.5559141476382815,0,0,0,0,0.188,1035.03,0.2439,1,0.2404,0
