customer_id,annual_income,credit_score,loan_amount,loan_term,age,employment_length_years,debt_to_income,credit_utilization,delinquency_count,inquiry_count,existing_customer,relationship_tenure_months,num_existing_products,default,income_per_month,loan_to_income_ratio,estimated_monthly_payment,payment_to_income_ratio,risk_score_band,review_flag
23,111676.24016022091,679.3911140993816,50000.0,36,68,3,0.4087381756781723,0.3600005696838904,0,1,1,31,3,0,9306.353346685077,0.4477228095055647,1733.263351741585,0.18624516897080082,good,0
24,70364.11553793594,641.7881491337998,15276.801846866516,36,21,2,0.5175796009226842,0.5760501232079972,0,0,1,54,3,0,5863.676294827995,0.2171106924297671,529.574415459838,0.09031440153622226,fair,1
25,62150.16533510678,767.3996046530184,23891.31529189429,36,56,6,0.3659058855830956,0.2024161515671435,0,1,1,44,2,0,5179.180444592232,0.38441273909233487,828.1988244068737,0.15990924299842005,excellent,0
26,64435.99348535312,642.2519762865426,12058.543374125304,36,39,17,0.1534532309266617,0.4972958338693776,0,1,1,90,2,0,5369.666123779427,0.18713986891005535,418.01262611515415,0.07784704233027619,fair,0
27,90969.27556660048,659.5532545884982,31320.8001065243,36,49,13,0.5070367560579869,0.7967073203741398,0,2,0,0,0,1,7580.772963883373,0.3443008632431001,1085.74389943725,0.14322337635842305,fair,1
28,85963.32193092235,568.5951654856264,25405.123938742858,36,51,3,0.573348399758668,0.3926547044115576,5,0,0,0,0,1,7163.610160910196,0.2955344601371053,880.6754053895165,0.1229373717280397,poor,1
29,87381.97834787966,630.0461886207873,11388.101465856726,60,51,0,0.4804242644805278,0.3184753905955359,1,2,0,0,0,1,7281.831528989972,0.13032551655432661,270.92189299395307,0.037205185519353284,fair,1
30,87924.63009023649,716.1253253437335,17827.151058865722,36,54,5,0.3987787023904954,0.6026350900367425,0,0,1,116,3,0,7327.052507519707,0.2027549168005265,617.9829519258631,0.08434263999163216,good,0
31,139249.42802611383,702.4421369448402,34718.34773500526,60,35,5,0.2733146535876022,0.3205852798899637,0,0,0,0,0,0,11604.119002176152,0.2493248857599983,825.9463193395721,0.07117699491995068,good,0
32,62807.54950846153,721.9661893046033,33517.09105372455,60,31,20,0.5227519467754751,0.5863937840533806,1,0,1,12,4,0,5233.962459038461,0.5336474884866417,797.3685326874297,0.1523450996783745,good,1
33,59632.71812785388,718.568760016197,6856.043607343541,36,56,3,0.131053180504374,0.5335403697625126,0,2,0,0,0,0,4969.393177321156,0.11497117392048203,237.66658245101465,0.04782607733431693,good,0
34,50586.81815256367,826.1399825406608,16340.303562677942,36,32,16,0.3024730992100444,0.5534346334070998,1,1,0,0,0,0,4215.568179380306,0.3230150493568219,566.4409864304426,0.13436883527746463,excellent,1
35,93479.38267726486,627.6498820787162,39213.96756296967,36,64,8,0.1494483609005188,0.2480742061970273,0,1,1,119,2,0,7789.948556438739,0.4194932234194933,1359.3626570655722,0.17450213528913439,fair,0
36,108869.16878162677,566.6403379595648,19328.22199305277,60,33,6,0.3393020820423939,0.162665366377706,1,2,0,0,0,1,9072.430731802231,0.17753623187520057,459.8166346045352,0.05068284874769279,poor,1
37,71581.57627035375,606.4612902749933,22834.225145492583,36,37,4,0.6613157860053844,0.2061838934234205,1,0,0,0,0,1,5965.131355862813,0.3189958413172108,791.5545122019691,0.1326969122467513,fair,1
38,49795.30569112416,630.7443714917886,31269.31916660077,36,40,13,0.303968621771902,0.4847923117004711,0,0,0,0,0,0,4149.60880759368,0.6279571684916166,1083.9592989075966,0.26121963512867974,fair,0
39,50265.563529262814,611.7971144368162,7678.38293701578,36,24,14,0.4693256880757374,0.9620270404897155,1,3,0,0,0,1,4188.7969607719015,0.15275632854275956,266.17319490734735,0.06354406702843708,fair,1
40,94517.78363474103,686.5562593351398,11603.02502570602,60,24,10,0.0632188218810354,0.5662024391081283,1,1,1,120,3,0,7876.4819695617525,0.12276023177207092,276.0349048386354,0.03504545631797447,good,1
41,97297.62513610328,767.6858433889915,17763.009167833592,60,53,19,0.4494850229457649,0.3365063132581316,2,2,1,80,2,0,8108.135428008606,0.1825636457498682,422.5803645538896,0.05211806934576068,excellent,1
42,91294.62804915584,787.776135107894,33046.2361985525,36,21,18,0.090229597294221,0.5947998296349969,1,2,1,117,2,0,7607.885670762987,0.3619735016653709,1145.556602318944,0.1505748971190155,excellent,1
43,55034.70878133917,715.3015951292623,31197.653482522976,60,72,16,0.1508978683772598,0.4826932439918337,1,1,1,107,3,0,4586.225731778264,0.5668723278959988,742.1893248664223,0.16183009038606905,good,1
44,81964.8396920016,829.8890550817811,28197.663671870974,36,41,11,0.5079624226670151,0.7581606789961204,0,3,0,0,0,1,6830.403307666799,0.34402145819457486,977.4795409437804,0.14310714854912,excellent,1
45,78500.57427422184,655.0538860403507,19608.40051329231,36,30,10,0.2270813988183362,0.2787574186333322,1,1,0,0,0,0,6541.71452285182,0.24978671422893736,679.7304399192088,0.10390707779143157,fair,1
46,81560.65790187039,565.7236670598302,32295.69737679694,36,47,13,0.1600896966636081,0.7173774472139216,0,3,0,0,0,1,6796.721491822533,0.39597151625796717,1119.5389736427796,0.16471750016902031,poor,1
47,101142.86333844568,753.7224647521718,19473.547691616892,60,21,12,0.4033640648821072,0.1567590600064101,1,0,1,38,3,0,8428.571944870473,0.19253506425126307,463.2739196905263,0.05496469896273526,excellent,1
48,81707.86646324047,551.2983925775657,26779.68012372408,60,38,3,0.7441433246354988,0.9131596968403124,2,2,0,0,0,1,6808.988871936705,0.32774910522775963,637.0861424658073,0.09356545507042854,poor,1
49,95367.40689215684,627.1497884110137,30120.38975394605,36,40,13,0.2218109810825472,0.3986578560586863,0,0,1,92,1,0,7947.283907679736,0.31583526002432766,1044.1313540137485,0.13138216351795182,fair,0
50,77027.37208466674,716.4078562695958,37968.20067510646,36,27,5,0.3241481625629388,0.9055509812139736,1,1,0,0,0,0,6418.9476737222285,0.49291829186227154,1316.1778152346428,0.20504573053582317,good,1
51,83673.58196069952,672.8332963965853,20436.754154181734,36,34,15,0.2116031699542024,0.428590530144581,0,2,0,0,0,0,6972.79849672496,0.24424380640877058,708.4455400799159,0.10160132123580838,good,0
52,93938.64677515622,666.6333065989946,17373.897790535826,36,60,0,0.4141686755350584,0.1916976127500819,0,3,1,9,3,0,7828.220564596351,0.18494941524903594,602.2708063447969,0.07693585040151664,fair,0
53,31285.325404330004,597.3446977025995,33950.75362788366,36,44,1,0.2299042742843944,0.3462903297541675,1,0,1,46,4,0,2607.1104503608335,1.085197394881485,1176.9119405443685,0.451423889590123,fair,1
54,65409.86350928096,679.2438327396665,34718.52578682512,36,47,12,0.1935631859624122,0.3146655564471872,1,0,1,48,4,0,5450.821959106747,0.5307842567408529,1203.5269674559834,0.22079733593654446,good,1
55,60888.82037121613,750.2563742116454,15566.255076096842,36,33,16,0.4885714452579915,0.556066611028164,0,2,0,0,0,0,5074.068364268011,0.25565046228420285,539.6083889452015,0.10634629849270852,excellent,1
56,55833.66455269975,681.3977541575214,9949.66268135735,36,26,11,0.1136881292050409,0.8671341391907446,0,1,0,0,0,0,4652.805379391646,0.1782018565481754,344.9077137557521,0.07412897930553884,good,1
57,66745.73246319949,621.8841884251258,33190.34466166112,36,39,3,0.0215744063635915,0.7670264583153699,2,3,0,0,0,1,5562.14437193329,0.4972654196201005,1150.5521606745835,0.20685406266573056,fair,1
58,119848.23933703188,592.6723077581869,4582.726264046256,36,21,6,0.2087816697451325,0.2756411968603134,2,2,0,0,0,1,9987.35327808599,0.038237743744575836,158.8614296907001,0.01590625917112232,fair,1
59,49025.066529202704,623.3283791931095,4071.985714583481,36,29,9,0.5144768294384517,0.5518196819364479,0,2,0,0,0,0,4085.422210766892,0.08305925932960981,141.15647215805635,0.034551256844762686,fair,1
60,104048.35063774444,707.463362669005,18317.0488519129,36,27,4,0.3142724336116732,0.266271918176263,2,1,1,31,4,1,8670.695886478703,0.17604362529022338,634.9653897416182,0.07323119135784334,good,1
61,24513.90685152585,704.0521583651797,21024.397157291543,60,21,20,0.4057369181218692,0.3061051890571795,1,2,0,0,0,0,2042.8255709604875,0.857651833458168,500.1684867304266,0.24484150462754284,good,1
62,64953.44910042676,623.9645029583032,9400.478337228007,36,50,9,0.6562301472970818,0.827270817686245,2,4,0,0,0,0,5412.7874250355635,0.1447263920126686,325.8700918151595,0.06020374830308706,fair,1
63,79882.59195315017,525.2468404612559,22218.6433837718,36,40,18,0.3393387931531977,0.4194851431516694,0,2,1,78,1,1,6656.882662762514,0.2781412425441144,770.2152060501461,0.11570208533836697,poor,1
64,92586.66994077836,709.4008934570516,22664.7008863648,36,35,2,0.3465529094879778,0.4274645255518218,1,0,0,0,0,1,7715.555828398196,0.24479442775744215,785.6779084904225,0.10183037047010836,good,1
65,96336.79739378564,617.1604820717324,15196.121059457208,36,50,9,0.1600038921660413,0.5010039964211372,0,1,0,0,0,0,8028.066449482137,0.15773952913530961,526.7775944197136,0.06561699478559713,fair,1
66,98800.41705599776,728.2343735310699,40334.64179167857,60,22,17,0.2234241563277604,0.8255273346677141,1,1,0,0,0,0,8233.368087999814,0.40824363897583144,959.5574416154442,0.11654494627750947,good,1
67,64538.24783254687,627.0723250510575,24297.612100073045,36,26,5,0.5142336015900105,0.1800880632664586,0,0,1,107,2,1,5378.187319378906,0.3764839132717078,842.28321175779,0.15661098462789302,fair,1
68,61129.446220062986,610.8469682431135,31284.890365217845,36,55,17,0.7297838232432449,0.7374902479056755,0,3,1,22,4,1,5094.120518338582,0.5117810204280602,1084.4990786657102,0.21289230879965929,fair,1
69,100739.2764377146,690.7220335081709,5437.870113306773,36,69,15,0.4362963293026441,0.6524010335408319,0,0,1,11,3,0,8394.939703142883,0.05397964235543163,188.5052195785098,0.0224546245978971,good,0
70,69260.87025355155,845.0389461018458,5351.581875494541,36,50,12,0.3306307472659841,0.2947607927240072,1,1,1,66,1,0,5771.739187795963,0.07726703195940361,185.51401477278372,0.03214178754523446,excellent,1
71,36729.41029986234,732.4320993781602,24600.626106489264,60,48,0,0.2361207581542371,0.4678739793190994,0,2,1,11,4,0,3060.784191655195,0.6697800456086191,585.2466465625346,0.19120807274388066,good,0
72,41001.38357989558,689.5353509444096,38548.576894202735,60,35,18,0.2531797135620519,0.9282357404887728,0,1,0,0,0,1,3416.781964991298,0.940177465429832,917.0671209518144,0.268400831566011,good,1
73,47416.43141995166,705.1196075466678,9900.642210276184,36,35,10,0.2540632125777617,0.6131870004090477,0,0,1,43,2,0,3951.3692849959716,0.20880192611672244,343.2084060355503,0.08685809429453063,good,0
74,89914.82232161293,557.4218896960082,21433.76646501282,36,45,12,0.4394054175717088,0.273358201184363,0,2,0,0,0,0,7492.9018601344105,0.2383785666406459,743.0072380718901,0.09916148000360975,poor,1
75,79272.77208211696,601.4361740473211,7649.037553036822,36,58,14,0.0570263377059451,0.6830530042881938,1,2,1,34,3,0,6606.064340176414,0.09649009807575366,265.1559293354771,0.04013826018658757,fair,1
76,95714.56062203304,504.23497944670027,12813.774007853472,36,47,10,0.1663945744223851,0.1475778111431384,0,2,0,0,0,0,7976.21338516942,0.1338748663154802,444.19289770622623,0.05568969587454205,poor,1
77,62182.42060990397,801.0911726203635,21931.113188082098,36,53,3,0.2752203395551404,0.1178541191715107,1,0,1,60,2,0,5181.868384158664,0.35268992381805697,760.2478950359852,0.14671308464981536,excellent,1
78,79756.19073230143,786.9170220409023,15073.88786637238,36,31,12,0.1528140241066244,0.5411889222755424,0,3,0,0,0,0,6646.349227691786,0.1889995964924943,522.540348140908,0.07862065777180965,excellent,0
79,93767.7118190201,707.4972968350437,6944.760968303242,36,49,12,0.1438991581000281,0.7647053577036727,0,0,0,0,0,0,7813.975984918342,0.0740634578097968,240.74199345930828,0.030809154506380904,good,0
80,65719.60380839284,689.4580572158943,6720.823093854146,36,34,1,0.337678071924593,0.4972184887154014,1,0,0,0,0,0,5476.633650699404,0.10226511884256956,232.97912724231773,0.04254057182919732,good,1
81,88703.25712672234,571.3886998251694,1139.9190053576058,36,44,4,0.2678601256315373,0.6767716761069991,0,1,1,19,1,1,7391.938093893528,0.012850926135849278,39.51559671880115,0.005345769433066434,poor,1
82,55142.22176800046,664.6490027824516,24765.8380321459,36,49,4,0.1700465702508264,0.4603938065246534,1,1,1,62,2,0,4595.185147333372,0.44912659007273836,858.5143887257285,0.18682911809050895,fair,1
83,64108.384603047845,805.4674314882725,25975.810254311386,60,36,7,0.1652235527149762,0.2527429824450752,1,1,0,0,0,0,5342.36538358732,0.4051858491638121,617.9621517466304,0.11567201178890647,excellent,1
84,63547.86318005013,689.1991198737,25925.53436547386,36,30,11,0.3042320462663575,0.8847070846882911,1,3,1,60,1,1,5295.655265004178,0.40796862502852516,898.7155717998575,0.16970809591198727,good,1
85,39124.81063232881,640.4747473651672,10908.242021347578,60,46,12,0.2944272566609806,0.8938570971406417,1,4,0,0,0,0,3260.4008860274007,0.27880625732806225,259.50608066849935,0.07959330452308223,fair,1
86,89609.17442356746,556.935053799747,30059.512905741823,36,40,2,0.3121896636787318,0.4508106322099175,0,1,0,0,0,0,7467.431201963955,0.33545128720101947,1042.0210418145102,0.1395421013588868,poor,1
87,60917.92979391829,776.6214009411564,27067.786675108586,36,44,18,0.2169259419258151,0.3044943593946601,0,1,1,82,4,0,5076.494149493191,0.4443320179499362,938.3120531344985,0.1848346566189463,excellent,0
88,75374.82356183062,675.094133928064,20072.94406644998,36,50,17,0.1959598164241151,0.5537955029937651,1,0,0,0,0,0,6281.235296819218,0.2663083390134594,695.8339662387292,0.11077979620988179,good,1
89,89422.39976717727,557.0286302646019,18431.71256740751,36,58,1,0.3902958269663941,0.4322001351453836,0,2,0,0,0,1,7451.866647264772,0.20611963686045923,638.9402380584448,0.085742307024137,poor,1
90,88395.93528089832,615.301402254992,13508.845309640305,60,50,3,0.1879533088549651,0.5574466547322333,0,1,1,31,2,0,7366.327940074861,0.152822019095788,321.37419520040305,0.04362746238983077,fair,1
91,94961.55326918358,590.5723387849309,21921.61833928724,60,48,17,0.2091845818478573,0.7909197199991027,0,0,0,0,0,1,7913.462772431965,0.23084730171710746,521.5132966435914,0.06590203449171188,fair,1
92,72045.43546471729,670.777953200162,36172.47805317998,36,36,8,0.6848218993815575,0.8319759214578918,0,1,0,0,0,1,6003.786288726441,0.5020786926937599,1253.9286110250732,0.2088563034248522,good,1
93,62301.05063867538,694.5137278728973,31378.566156165136,36,38,9,0.4769825558024226,0.4009603856143592,0,4,1,63,2,0,5191.754219889614,0.5036603048260991,1087.746374973597,0.20951422750270526,good,1
94,72608.45367280803,644.7748055005032,17437.89576370922,36,47,10,0.5665455668788496,0.4145623048956833,2,1,1,21,3,0,6050.704472734003,0.24016343664401127,604.4893131745406,0.09990395594407521,fair,1
95,24379.966981259106,734.3932617540818,25386.2146177436,60,38,20,0.154907444333115,0.5828882857253399,0,2,0,0,0,0,2031.6639151049255,1.0412735438163934,603.9357254420504,0.2972616290788422,good,0
96,31586.625827307384,685.5161568330709,8985.69950478242,36,47,3,0.1703788072790676,0.2009987085876293,0,0,1,17,2,0,2632.218818942282,0.2844779798141526,311.49167282803757,0.1183380615882337,good,0
97,35319.01162936793,754.3618669690491,27300.67177405201,60,32,19,0.1996128933667059,0.8049640201592171,1,0,1,88,3,1,2943.2509691139944,0.7729738323305286,649.4804862081835,0.22066772178215868,excellent,1
98,45082.595171955545,654.9964145343497,11691.428573346377,36,65,5,0.0122730751820712,0.3765459660398607,0,0,1,15,2,0,3756.8829309962953,0.25933353056746633,405.2864935137136,0.10787839303216097,fair,0
99,86993.2268017031,850.0,26902.55561277673,36,44,18,0.1370286925839745,0.923835755750764,0,0,1,41,3,0,7249.435566808592,0.30924885306060174,932.5842742363158,0.12864232884246787,excellent,1
100,47835.62833919818,640.4857893568229,49690.72190474402,36,44,10,0.0805219682163905,0.0332518262191169,0,1,1,91,1,0,3986.302361599848,1.038780583195286,1722.5421439815125,0.432115275585387,fair,0
101,63655.12337881831,616.766900577089,14299.875676728709,60,36,15,0.3386942684152206,0.7118022980304334,1,2,1,101,1,0,5304.593614901526,0.2246461072960931,340.19273533282274,0.06413172430646344,fair,1
102,113976.84893358196,608.1589614932969,49228.03309238031,60,65,2,0.6555509667962275,0.5429356411387584,0,1,0,0,0,1,9498.070744465163,0.4319125642843064,1171.1304077982504,0.12330192511541403,fair,1
103,64312.08086815722,665.2341491411986,24906.354877829785,36,27,7,0.2764198567045621,0.5965337995453197,0,2,0,0,0,0,5359.340072346436,0.38727334804329694,863.3854427042526,0.1610992082771759,fair,0
104,97125.4670540126,559.6324736393951,12503.743667380497,36,34,3,0.6474061270216132,0.7406800585217486,0,1,1,69,3,1,8093.788921167717,0.1287380544620525,433.4456131648308,0.05355286841959591,poor,1
105,46991.46959970369,700.6193990679468,12045.438332655847,36,52,12,0.4337864052961014,0.5032104464568198,0,0,0,0,0,0,3915.9557999753074,0.2563324457610806,417.55833635311285,0.10662999215903199,good,0
106,68836.8732639711,546.6287361304635,43649.5560784839,36,45,0,0.1256126360285477,0.8339639784055207,0,3,0,0,0,1,5736.406105330924,0.6341013763141938,1513.1235174125056,0.26377552240287916,poor,1
107,46499.33835268256,691.3169646840062,24929.886847030983,60,35,8,0.2738052325941968,0.3431718413009429,1,0,1,97,1,0,3874.9448627235465,0.5361342274896399,593.079729485408,0.15305501119195297,good,1
108,64829.00772298312,585.4123779132553,14338.471438341614,36,35,10,0.4568574257440932,0.7237051605118561,0,2,0,0,0,1,5402.417310248594,0.22117369896187966,497.04694128141944,0.09200454401152937,fair,1
109,100209.24412372187,653.3094614833935,17965.39388957096,60,39,10,0.2756961774370935,0.5281106669292843,1,1,0,0,0,1,8350.77034364349,0.17927880852200595,427.39507858594607,0.051180317617056006,fair,1
110,23180.387304229534,722.3178279392652,24307.75777708953,36,43,17,0.2282831779757068,0.943087798461146,0,1,1,11,4,0,1931.6989420191278,1.0486346693441855,842.6349143608156,0.43621440981058285,good,1
111,88032.70930637572,841.2826378713447,19912.793247869675,60,61,12,0.441395297455706,0.8336256578328539,1,3,1,27,4,1,7336.059108864643,0.2261976645333271,473.723531326493,0.06457466116780425,excellent,1
112,82132.06806996834,604.539963545319,23458.99146274169,60,49,17,0.0398716044157636,0.6489357834285511,2,1,0,0,0,0,6844.339005830695,0.2856252376656502,558.0872627338182,0.08153997956221097,fair,1
113,57175.501329096165,669.4777785401526,37736.108966542764,36,54,10,0.372748891127193,0.7994056968612593,0,2,0,0,0,0,4764.625110758014,0.6600048637733439,1308.1322941807118,0.27455093811106734,fair,0
114,31618.26436834636,629.336892765712,8720.293354373238,60,37,7,0.1144715799785338,0.0743415246571239,0,2,1,58,1,0,2634.8553640288633,0.27579924225149716,207.45498186089918,0.07873486515212445,fair,0
115,77163.88523141609,619.1090774207444,26446.30327763911,36,48,6,0.2658062401088057,0.3452512952199975,0,0,0,0,0,0,6430.323769284674,0.34272902664223515,916.7681652035045,0.14256951872936852,fair,1
116,59115.21872808593,629.9518669021319,19271.02395317869,60,23,14,0.724149070104861,0.3578242459408073,0,2,1,118,4,0,4926.268227340494,0.32599091008178815,458.45589846386326,0.09306352744383606,fair,1
117,81980.28634064112,737.6846532945857,15009.546539412844,36,44,19,0.3928661003143355,0.4580459980787743,0,1,0,0,0,0,6831.69052838676,0.18308726657604862,520.3099388604803,0.0761612278282145,good,0
118,75655.56436570329,645.8360895038734,30721.741677899423,36,43,20,0.3211228299550102,0.7895420410645774,1,3,0,0,0,1,6304.630363808607,0.40607378895477975,1064.977379039502,0.1689198759349997,fair,1
119,123053.36673962748,837.4518888789598,5385.743653152902,36,64,4,0.096053362569501,0.8900990991947951,1,1,0,0,0,0,10254.44722830229,0.04376754408113839,186.69824191769536,0.01820656323474964,excellent,1
120,67819.33117580928,709.1185479126314,1000.0,60,61,8,0.368419212087743,0.2767238989558949,0,1,0,0,0,0,5651.610931317439,0.01474505841694217,23.789908599446402,0.004209403103707878,good,0
121,44295.07522134405,609.2992537178147,22245.330147621506,60,39,13,0.2894591778107661,0.2597820837973617,0,1,0,0,0,0,3691.2562684453374,0.5022077518992484,529.2143709764251,0.14336971815179522,fair,1
122,80378.26904868949,654.3306372498446,18618.20260127104,36,32,19,0.8159206446229103,0.3425596225666691,0,1,1,118,4,0,6698.1890873907905,0.23163229093377655,645.4049648816588,0.09635514261612378,fair,1
123,81599.90051915296,623.8707106972007,6471.52749520042,60,33,6,0.1904987385925353,0.5209151601205522,0,6,0,0,0,0,6799.991709929413,0.07930803167587354,153.9570476096223,0.022640769894200306,fair,0
124,115775.6272572131,736.00480570627,2894.4750381496638,60,38,16,0.1458918182047831,0.5681026656817749,2,2,1,52,3,0,9647.968938101092,0.025000728622218114,68.85929660095962,0.007137180585427475,good,1
125,100053.33737743736,565.2854240404323,39306.33377668805,60,58,17,0.1227371146829428,0.0653002043162584,1,2,1,102,3,1,8337.778114786446,0.3928537998489495,935.0940879267415,0.11215147188389055,poor,1
126,85706.13177448529,586.1334033694933,24630.1484795968,36,47,3,0.4313531258686336,0.6074071632453731,0,1,1,90,1,0,7142.177647873774,0.28737907042774524,853.810674152777,0.11954486658385087,fair,1
127,118899.08673658685,638.5917716875601,20196.4572307178,36,48,6,0.460503535416322,0.2620700205927865,0,2,1,8,3,0,9908.257228048904,0.16986217291384137,700.11558306039,0.07065981099156368,fair,1
128,39337.10837031448,727.8062755196828,41952.4490895944,36,52,9,0.5491177696863704,0.2900749319337161,1,0,0,0,0,0,3278.0923641928734,1.0664853322108212,1454.292850455972,0.4436399858337749,good,1
129,55807.45401750757,766.3142192375941,30220.62493065567,60,30,17,0.1804068710663642,0.1594980799044208,0,1,0,0,0,0,4650.621168125631,0.5415159222392322,718.9459049184496,0.15459137151212415,excellent,0
130,47202.72175783425,776.6379533540991,37692.76770540206,36,33,19,0.5168792721219247,0.8770195317129188,1,0,0,0,0,1,3933.560146486188,0.7985295402663438,1306.629857789643,0.33217487690500125,excellent,1
131,63305.70590532696,717.0861063963271,8200.460718834785,60,48,3,0.1722558773924497,0.9173527722693626,2,1,0,0,0,1,5275.4754921105805,0.1295374658797574,195.08821097443007,0.03698021367537434,good,1
132,33699.41557331073,674.1977324549385,7826.074098753155,60,33,3,0.3127457038013413,0.45724002732802,2,1,1,22,1,0,2808.2846311092276,0.23223174542881445,186.1815875018324,0.06629726395005638,good,1
133,94054.52840443212,735.6238068619795,26170.75235116016,36,24,8,0.1132831868408187,0.73150425053429,1,1,1,60,3,1,7837.87736703601,0.2782508486816109,907.2161187554166,0.11574767965306197,good,1
134,68333.3190870368,599.8849567797803,24144.99218095789,60,29,1,0.3465800486009192,0.6825779101364443,0,1,1,18,3,0,5694.443257253067,0.3533414226499205,574.4071571193361,0.10087152177464175,fair,1
135,30875.811164920266,550.8739944588641,32496.62035659875,36,55,10,0.291015663914916,0.7559595857326583,1,1,0,0,0,1,2572.9842637433553,1.0524944650674468,1126.5040223910435,0.43782002005496434,poor,1
136,44532.62756377376,710.5646304380542,3692.1112468734023,36,38,5,0.8302228365899891,0.4868173075668257,1,2,0,0,0,1,3711.052296981147,0.08290800360933427,127.98802229517193,0.034488337004789406,good,1
